"","NGA.y","Date.From","Articles","Calendar","Degree of centralization","Duration","Formal legal code","Full-time bureaucrats","History","irrigation systems","markets","Mnemonic devices","Peak Date","Polity territory","Population of the largest settlement","Postal stations","Practical literature","Professional priesthood","Professional soldiers","Religious levels","Roads","Sacred Texts","Script","Settlement hierarchy","Specialized government buildings","Tokens","Written records"
"1","Basin of Mexico",-1200,"inferred present","absent","quasi-polity","1200-801 BCE","inferred absent","inferred absent","absent","suspected unknown","inferred absent","present",NA,"suspected unknown","1000","absent","absent","inferred absent","inferred absent","1","suspected unknown","absent","absent","2","absent",NA,"absent"
"2","Basin of Mexico",-800,"inferred present","absent","quasi-polity","800-401 BCE","inferred absent","inferred absent","absent","present","inferred absent","present","650 BCE","suspected unknown","3000","absent","absent","inferred absent","inferred absent","1","suspected unknown","absent","absent","2","suspected unknown",NA,"absent"
"3","Basin of Mexico",-400,"present","absent","quasi-polity","400-101 BCE","inferred absent","suspected unknown","absent","present","suspected unknown","present","200 BCE","suspected unknown","20000",NA,"absent","inferred present","suspected unknown","2","suspected unknown","absent","absent","3","inferred present","suspected unknown","absent"
"4","Basin of Mexico",-100,"present","absent","quasi-polity","100 BCE-99 CE","inferred absent","suspected unknown","absent","present","present","present",NA,"suspected unknown","40000",NA,"absent","inferred present","suspected unknown","2","suspected unknown","absent","absent","3","inferred present","suspected unknown","absent"
"5","Basin of Mexico",-6000,NA,"absent",NA,"6000-2001 BCE","inferred absent","suspected unknown","absent","inferred absent","inferred absent","present",NA,"suspected unknown","suspected unknown",NA,"absent","suspected unknown","suspected unknown",NA,NA,"absent","absent","1","inferred absent",NA,"absent"
"6","Basin of Mexico",-2000,NA,"absent",NA,"2000-1201 BCE","inferred absent","suspected unknown","absent","suspected unknown","suspected unknown","present",NA,"suspected unknown","3000",NA,"absent","suspected unknown","suspected unknown",NA,NA,"absent","absent","2","inferred absent",NA,"absent"
"7","Basin of Mexico",1427,NA,"present",NA,"1427-1526 CE","present","present","present","present","present","present",NA,"28070","150000",NA,"absent","present","present",NA,NA,"present","present","5","present",NA,"absent"
"8","Basin of Mexico",650,NA,"present",NA,"650-899 CE","suspected unknown","inferred present","absent","suspected unknown","present","present",NA,"suspected unknown","25000",NA,"absent","inferred present","inferred present",NA,NA,"present","present","3","inferred present",NA,"absent"
"9","Basin of Mexico",1200,NA,"present",NA,"1200-1426 CE","suspected unknown","inferred present","absent",NA,"present","present",NA,"suspected unknown","20000",NA,"absent","inferred present","inferred present",NA,NA,"suspected unknown","present","3","present",NA,"absent"
"10","Basin of Mexico",900,NA,"present",NA,"900-1199 CE","suspected unknown","inferred present","absent","suspected unknown","present","present",NA,"20000","30000",NA,"absent","inferred present","inferred present",NA,NA,"suspected unknown","present","4","present",NA,"absent"
"11","Basin of Mexico",100,NA,NA,NA,"100-649 CE",NA,NA,NA,"suspected unknown","present",NA,NA,NA,"100000",NA,NA,NA,NA,NA,NA,NA,NA,"3","suspected unknown",NA,NA
"12","Big Island Hawaii",1778,"present","absent","unitary state","1778-1819 CE","absent","present","absent","present","suspected unknown",NA,"1810 CE","15000",NA,"suspected unknown","absent","present","present","2","inferred absent","absent","absent","2","inferred absent","inferred present","absent"
"13","Big Island Hawaii",1000,NA,"absent","quasi-polity","1000-1200 CE","inferred absent","inferred absent","absent","inferred absent","suspected unknown",NA,"1200 CE","1700",NA,"suspected unknown","absent","inferred absent","inferred absent",NA,"suspected unknown","absent","absent","1","inferred absent","suspected unknown","absent"
"14","Big Island Hawaii",1200,NA,"absent","quasi-polity","1200-1580 CE","absent","inferred absent","absent","present","suspected unknown",NA,"1580 CE","1500",NA,"inferred absent","absent","present","inferred absent",NA,"inferred absent","absent","absent","1","inferred absent","suspected unknown","absent"
"15","Big Island Hawaii",1650,NA,"absent","unitary state","1580-1778 CE","absent","absent","absent","present","suspected unknown",NA,NA,"7000",NA,"inferred absent","absent","present","present","2","present","absent","absent","2","inferred absent","suspected unknown","absent"
"16","Cahokia",1050,"present","absent","loose","1000-1150 CE","unknown","inferred absent","absent","absent","absent",NA,"1100 CE","2000","10000","absent","absent","present",NA,"3","present","absent","absent","4","inferred present","suspected unknown","absent"
"17","Cahokia",1200,"present","absent","loose","1200-1275 CE","unknown","inferred absent","absent","absent","absent",NA,"1200 CE","2000","10000","absent","absent","present",NA,"3","present","absent","absent","4","inferred present","suspected unknown","absent"
"18","Cahokia",-600,"present","absent","none","600-150 BCE","absent","absent","absent","absent","absent",NA,"150 CE",NA,"30","absent","absent","absent","absent","suspected unknown","absent","absent","absent","1","absent",NA,"absent"
"19","Cahokia",900,"present","absent","loose","900-1050 CE","unknown","inferred absent","absent","absent","absent",NA,"1050 CE","100","400","absent","absent","present","absent","3","present","absent","absent","3","present","inferred present","absent"
"20","Cahokia",450,"present","absent","none","450-600 CE","absent","absent","absent","absent","absent",NA,"600 CE",NA,"30","absent","absent","absent","absent","suspected unknown","inferred absent","absent","absent","1","absent",NA,"absent"
"21","Cahokia",-150,"present","absent","none","150 BCE - 300 CE","absent","absent","absent","absent","absent",NA,"300 CE",NA,"30","absent","absent","absent","absent","suspected unknown","absent","absent","absent","1","absent",NA,"absent"
"22","Cahokia",600,"present","absent","none","600-750 CE","absent","absent","absent","absent","absent",NA,"750 CE",NA,"30","absent","absent","absent","absent","suspected unknown","inferred absent","absent","absent","1","absent",NA,"absent"
"23","Cahokia",300,"present","absent","none","300-450 CE","absent","absent","absent","absent","absent",NA,"450 CE",NA,"30","absent","absent","absent","absent","suspected unknown","absent","absent","absent","1","absent",NA,"absent"
"24","Cahokia",1275,"present","absent","loose","1275-1400 CE","unknown","inferred absent","absent","absent","absent",NA,NA,"500","5000","absent","absent","present",NA,"3","present","absent","absent","3","inferred absent","suspected unknown","absent"
"25","Cahokia",750,"present","absent","none","750-900 CE","absent","absent","absent","absent","absent",NA,"900 CE","100","400","absent","absent","absent","absent","2","inferred absent","absent","absent","2","absent",NA,"absent"
"26","Cahokia",1640,"suspected unknown","suspected unknown","quasi-polity","1640-1717 CE","absent",NA,"suspected unknown","suspected unknown",NA,"present",NA,"14000","2000",NA,"suspected unknown",NA,NA,"1","inferred absent","suspected unknown","suspected unknown","1","present","suspected unknown","suspected unknown"
"27","Cahokia",1400,"suspected unknown","absent","quasi-polity","1400-1650 CE","absent",NA,"absent","inferred absent","inferred absent",NA,NA,"6000","200",NA,"absent","absent",NA,"1","inferred absent","absent","absent","2","suspected unknown","suspected unknown","absent"
"28","Cambodian Basin",1594,"inferred absent","present",NA,"1593-1767 CE","present","present","present","present","present",NA,"1733-1758 CE",NA,"155000",NA,"inferred present","present","absent","6","absent","inferred present","present","4","inferred absent","present","present"
"29","Cambodian Basin",1782,"inferred absent","present","confederated state","1782-1873 CE","present","present","present","present","inferred present",NA,"1793-1810","513120","50000",NA,"present","present","absent","6","present","present","present","4","absent","present","present"
"30","Cambodian Basin",225,"inferred present","present","confederated state","225-540 CE","inferred present","suspected unknown","present","present","inferred absent",NA,"250-514 CE","257034","2000","suspected unknown","present","inferred present","present","2","present","present","present","3","inferred present","absent","present"
"31","Cambodian Basin",1080,"present","present","unitary state","1100-1220 CE","present","present","present","present","present","present","1150-1220 CE","939245","750000","present","present","present","present","4","present","present","present","6","present","absent","present"
"32","Cambodian Basin",802,"present","present","unitary state","802-1100 CE","present","present","present","present","present","present","900 CE","916847","400000","inferred absent","present","present","present","4","present","present","present","5","present","absent","present"
"33","Cambodian Basin",1220,"present","present","unitary state","1220-1432 CE","present","present","present","inferred present","present","present","1220-1353 CE","1000000","750000","inferred absent","present","present","present","4","inferred present","present","present","6","suspected unknown","absent","present"
"34","Cambodian Basin",1432,"present","present","unitary state","1432-1594 CE","present","present","present","present","present","present","1400 CE","280000","unknown","inferred absent","present","present","present","6","present","present","present","6","suspected unknown","absent","present"
"35","Cambodian Basin",640,"present","inferred present","confederated state","550-825 CE","present","present","present","present","inferred absent",NA,"650 CE","531000","60000","suspected unknown","present","present","suspected unknown","4","present","present","present","3","suspected unknown","absent","present"
"36","Cambodian Basin",540,"present","present","confederated state","540-640 CE","present","present","present","present","inferred absent",NA,"450-650 CE","264200","2000","suspected unknown","present","present","inferred absent","2","present","present","present","3","suspected unknown","absent","present"
"37","Cambodian Basin",-1200,NA,NA,NA,"1200-501 BCE",NA,NA,NA,"suspected unknown","suspected unknown",NA,NA,"suspected unknown","100",NA,NA,NA,NA,NA,NA,NA,NA,"1","suspected unknown",NA,NA
"38","Cambodian Basin",-500,NA,NA,NA,"500 BCE-224 CE",NA,NA,NA,"suspected unknown","suspected unknown",NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,"1","suspected unknown",NA,NA
"39","Central Java",500,"inferred present",NA,NA,"500-732 CE",NA,NA,NA,"inferred present","inferred present",NA,NA,NA,NA,NA,NA,"inferred present",NA,"1",NA,NA,"present","1",NA,NA,"inferred present"
"40","Central Java",1049,"present",NA,"nominal","1049-1222 CE","present","present",NA,"present","present",NA,NA,"50000",NA,NA,NA,"present","inferred present","3","present",NA,"present","3",NA,NA,"present"
"41","Central Java",1291,"present",NA,"loose","1292-1518 CE","present","present","present","present","present",NA,"1389 CE","500000","100000","suspected unknown",NA,"present","present","3","present",NA,"present","3","inferred present",NA,"present"
"42","Central Java",1568,"present","suspected unknown","loose","1568-1703 CE","present","present","present","suspected unknown","suspected unknown",NA,NA,"90000",NA,"suspected unknown","present","present","present","1","present","suspected unknown","present","3","present",NA,"present"
"43","Central Java",732,"present","suspected unknown","nominal","732-1019 CE","inferred present","present",NA,"present","present",NA,"850 CE","100000","1000","suspected unknown","suspected unknown","present","inferred present","1","present","present","present","2","inferred present",NA,"present"
"44","Central Java",-400,NA,NA,NA,"400 BCE - 500 CE",NA,NA,NA,"inferred present",NA,NA,"100 CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"inferred present"
"45","Chuuk Islands",1775,"present","absent","quasi-polity","1775-1886 CE","absent","absent","absent","absent","absent","absent",NA,"suspected unknown","100","absent","absent","absent","absent","1","absent","absent","absent","1","absent","absent","absent"
"46","Chuuk Islands",1886,"present","inferred present","loose","1886-1948 CE","present","inferred present","absent","absent",NA,"absent",NA,"127",NA,"inferred absent","absent","absent","absent","1","present","present","present","2","present","absent","present"
"47","Crete",-1450,"inferred present","present","polity","1450-1300 BCE","absent","present","absent",NA,"inferred present",NA,"1390-1300 BCE","4000","10000","absent","absent","present","suspected unknown","3","present","absent","present","1","present","inferred present","present"
"48","Crete",-1700,"inferred present","unknown","quasi-polity","1700- 1450 BCE","absent","present","absent","present","inferred present",NA,"1500-1450 BCE","suspected unknown","25000","absent","absent","present",NA,"suspected unknown","present","unknown","present","1","present","inferred present","present"
"49","Crete",-1900,"inferred present",NA,"quasi-polity","1900-1700 BCE","absent","present","absent","suspected unknown","inferred present",NA,"1800-1700 BCE","suspected unknown","17100","absent","absent","suspected unknown",NA,NA,"suspected unknown",NA,"present","1","present","inferred present","present"
"50","Crete",-3000,"inferred present","absent","quasi-polity","3000-1900 BCE","absent","suspected unknown","absent","suspected unknown","absent","suspected unknown","2300-1900 BCE",NA,"2600","absent","absent",NA,NA,"1","suspected unknown","absent","absent","1","inferred present","inferred present","absent"
"51","Crete",-31,"inferred present","present","unitary state","31 BCE - 284 CE","present","present","present","present","present",NA,"117 CE","5800000","900000","present","present","present","present","4","present","present","present","7","present","present","present"
"52","Crete",-710,"present","present","quasi-polity","710-500 BCE","present","present","absent","present","present",NA,"650 BCE","167","4000","absent","absent","present","present","5","present","present","present","1","present","present","present"
"53","Crete",-500,"present","present","quasi-polity","500-323 BCE","present","present","present","present","present",NA,"350 BCE","210","4000","absent","present","present","present","5","present","present","present","1","present","present","present"
"54","Crete",824,"present","present","unitary state","824-961","present","present","present","inferred present","inferred present",NA,"824-961 CE","8336","12000","absent","present","present","present","4","present","present","present","3","suspected unknown","present","present"
"55","Crete",-1200,"present","absent","quasi-polity","1200-1000 BCE","absent",NA,"absent",NA,NA,"suspected unknown","1200-1100 BCE","suspected unknown","1000","absent","absent",NA,NA,NA,"present","absent","inferred absent","1",NA,"present","absent"
"56","Crete",-1000,"present",NA,"quasi-polity","1000-710 BCE",NA,NA,"absent","present",NA,NA,"8th century BCE","suspected unknown","6000","absent","absent","suspected unknown","suspected unknown","suspected unknown","present","absent","present","1",NA,"present","present"
"57","Crete",-323,"present","present","quasi-polity","323-69 BCE","present","present","present","present","present",NA,"250 BCE","210","24000","absent","inferred present","present","present","5","present","present","present","1","present","present","present"
"58","Crete",-1300,"present","present","quasi-polity","1300-1200 BCE","absent","present","absent",NA,"inferred present",NA,"1300-1200 BCE","suspected unknown","1000","absent","absent","present",NA,"suspected unknown","present","absent","present","4","present","present","present"
"59","Crete",632,"present","present","unitary state","632-866 CE","present","present","present","inferred present","present","absent","741-775","520000","80000","present","present","present","present","7","present","present","present","6","present","absent","present"
"60","Crete",961,"present","present","unitary state","867-1072 CE","present","present","present","present","present","absent","1025 CE","810000","300000","present","present","present","present","7","present","present","present","6","present","unknown","present"
"61","Crete",1073,"present","present","unitary state","1073-1204 CE","present","present","present","present","present","absent","1180 CE","480000","100000","present","present","present","present","7","present","present","present","6","present","present","present"
"62","Crete",395,"present","present","unitary state","395-631 CE","present","present","present","present","present","inferred present","527-542 CE","1400000","500000","present","present","present","present","7","present","present","present","6","present","present","present"
"63","Crete",284,"present","present","unitary state","285-394 CE","present","present","present","present","present",NA,"394 CE","4000000","800000","present","present","present","present","5","present","present","present","7","present","present","present"
"64","Crete",-7000,NA,"absent","quasi-polity","7000-3000 BCE","absent","absent","absent",NA,"absent",NA,"4500-3000 BCE",NA,"35","absent","absent","absent","absent","1","suspected unknown","absent","absent","1","absent",NA,"absent"
"65","Cuzco",1532,"present","present","confederated state","1516-1700 CE","present","present","present","present","present",NA,"1556-1598","7100000","224000","inferred present","present","present","present","10","present","present","present","7","present",NA,"present"
"66","Cuzco",1400,"present","absent","unitary state","1375-1532 CE","present","inferred present","absent","present","inferred present","present","1525 CE","500000","20000","present","absent","present","present","4","present","absent","absent","5","present","inferred present","absent"
"67","Cuzco",650,"present","absent","unitary state","650-999 CE","inferred absent",NA,"absent","present","inferred absent",NA,"800 CE","20000","30000","suspected unknown","absent","inferred present","inferred present",NA,"present","absent","absent","5",NA,"inferred absent","absent"
"68","Cuzco",200,"suspected unknown","absent","none","200-499 CE","inferred absent","inferred absent","absent","present","inferred absent","suspected unknown",NA,"600","unknown","suspected unknown","absent","inferred absent","inferred absent",NA,NA,"absent","absent","3","inferred absent","suspected unknown","absent"
"69","Cuzco",500,"suspected unknown","absent","quasi-polity","500-649 CE","inferred absent","suspected unknown","absent","present","inferred absent","suspected unknown","600 CE","1000","unknown","suspected unknown","absent","suspected unknown","suspected unknown",NA,"suspected unknown","absent","absent","3","unknown","suspected unknown","absent"
"70","Cuzco",1000,"suspected unknown","absent","quasi-polity","1000-1250 CE","inferred absent","inferred absent","absent","present","inferred absent","inferred absent","1250 CE","500","unknown","suspected unknown","absent","suspected unknown","suspected unknown",NA,"inferred absent","absent","absent","4","suspected unknown","suspected unknown","absent"
"71","Cuzco",1250,"suspected unknown","absent","quasi-polity","1250-1400 CE","inferred present","inferred present","absent","present","inferred present",NA,"1400 CE","2300","suspected unknown","suspected unknown","absent",NA,"present","2","present","absent","absent","4","present","suspected unknown","absent"
"72","Cuzco",1,"suspected unknown","absent","none","500 BCE-200 CE","inferred absent","suspected unknown","absent","inferred present","inferred absent","suspected unknown","200 CE","suspected unknown","unknown","suspected unknown","absent","suspected unknown","suspected unknown",NA,"suspected unknown","absent","absent","3","suspected unknown","suspected unknown","absent"
"73","Deccan",-2700,"inferred present","inferred absent","quasi-polity","2700-1200 BCE","suspected unknown","suspected unknown","inferred absent","suspected unknown","suspected unknown",NA,NA,NA,NA,"inferred absent","inferred absent","inferred absent","inferred absent",NA,"suspected unknown","inferred absent","suspected unknown","1","suspected unknown","inferred absent","suspected unknown"
"74","Deccan",541,"present","suspected unknown","unitary state","543-753 CE","present","present","present","present","inferred present",NA,"609-643 CE","750000","70000",NA,"present","present","present","5","suspected unknown","present","present","4","present",NA,"present"
"75","Deccan",974,"present","suspected unknown","loose","973-1191 CE","present","suspected unknown","present","present",NA,NA,"1076-1126 CE","600000","50000",NA,"present","present","suspected unknown","4","suspected unknown","present","present","3","suspected unknown",NA,"present"
"76","Deccan",1192,"present","suspected unknown","unitary state","1108-1346 CE","inferred present","present","suspected unknown","present",NA,NA,"1225 CE","100000",NA,NA,"present","inferred present","present","1","suspected unknown","present","suspected unknown","3","suspected unknown","inferred present","suspected unknown"
"77","Deccan",451,"present","present","unitary state","345-550 CE",NA,"inferred present",NA,"suspected unknown",NA,NA,"435-455 CE","50000",NA,NA,"present","present","suspected unknown","1","suspected unknown","present","present","4","suspected unknown",NA,"present"
"78","Deccan",1280,"present","suspected unknown","unitary state","1280-1327 CE","inferred present","inferred present","suspected unknown","present",NA,NA,NA,"10000",NA,NA,"present","suspected unknown","inferred present","1","suspected unknown","suspected unknown","inferred present","3","inferred present",NA,"inferred present"
"79","Deccan",-300,"present","present","unitary state","324-187 BCE","present","present",NA,"present","inferred present",NA,"269-232 BCE","4000000","50000","inferred present","present","present","present","1","present","present","present","4","inferred present",NA,"present"
"80","Deccan",1687,"present","suspected unknown","unitary state","1526-1858 CE","inferred present","present","present","present","present",NA,"1630-1707 CE","3200000","400000","present","suspected unknown","suspected unknown","present","1","present","present","present","4","present","present","present"
"81","Deccan",757,"present","inferred present","loose","753-973 CE","inferred present","present","present","present","present",NA,"814-878 CE","600000","100000",NA,"present","present","present","5","present","present","present","3","suspected unknown",NA,"present"
"82","Deccan",-100,"present","present","unitary state","100 BCE - 200 CE","present","present","suspected unknown","present","present","suspected unknown","106-130 CE","1400000","84000",NA,"present","present","present","1","present","present","present","4","inferred present",NA,"present"
"83","Deccan",286,"present","present","unitary state","255-550 CE","inferred present","present",NA,NA,"inferred absent",NA,"510 CE","900000",NA,NA,"inferred present","present","inferred present","1",NA,"present","present","5","present",NA,"present"
"84","Deccan",1337,"present","suspected unknown","nominal","1336-1646 CE","present","present","suspected unknown","present","present",NA,"1505-1542 CE","350000","150000",NA,"present","present","present","0","present","present","present","3","present",NA,"present"
"85","Deccan",-1200,"suspected unknown","suspected unknown","quasi-polity","1200-300 BCE","suspected unknown","suspected unknown","suspected unknown","present",NA,"suspected unknown",NA,NA,"5000","inferred absent","suspected unknown","suspected unknown","suspected unknown","1",NA,"suspected unknown","suspected unknown","2","suspected unknown",NA,"suspected unknown"
"86","Deccan",1780,NA,"present","loose","1780-1840 CE","present","present","present","present","present",NA,"1815 CE","30800000","900000","present","present","present","present",NA,"present","present","present","6","present",NA,"present"
"87","Deccan",-205,NA,NA,"quasi-polity","205-101 BCE",NA,"inferred present",NA,"inferred present",NA,NA,NA,NA,NA,NA,NA,"inferred present",NA,NA,NA,NA,"inferred present","2","inferred present",NA,"inferred present"
"88","Finger Lakes",1566,"present","absent","loose","1566 - 1713 CE","present","absent","absent","absent","absent","present","1650-1701 CE","100000","600","absent","absent","absent","absent","1","absent","absent","absent","2","absent","present","absent"
"89","Finger Lakes",1714,"present","absent","loose","1714-1848 CE","present","absent","absent","absent","absent","present","1714-1765 CE","100000","600","absent","absent","absent","absent","2","absent","present","present","3","absent","present","present"
"90","Finger Lakes",1300,NA,NA,NA,"1300-1565 CE",NA,NA,NA,"suspected unknown","suspected unknown",NA,NA,"73218","1000",NA,NA,NA,NA,NA,NA,NA,NA,"2","absent",NA,NA
"91","Galilee",-300,"present","present","unitary state","305-217 BCE","present","present","inferred present","present","present","present","300 BCE","1000000","160000","present","inferred present","present","present","1","present","inferred present","present","6","present","present","present"
"92","Galilee",-2000,"present","absent","quasi-polity","2000-1175 BCE","present","suspected unknown","absent","present","inferred present","inferred present","1550 BCE","400","45000","unknown","absent","present","inferred present","2","inferred present","absent","present","6","present","absent","present"
"93","Galilee",-721,"present","present","unitary state","911-612 BCE","absent","present",NA,"inferred present",NA,NA,"668 BCE","1400000","70000","present",NA,"present","present","3","present",NA,"present","6","present",NA,"present"
"94","Galilee",-538,"present","present","unitary state","550-331 BCE","present","present","present","present","inferred present","inferred present","500 BCE","4800000","200000","present","inferred present","inferred present","present","3","present","inferred present","present","5","present","suspected unknown","present"
"95","Galilee",-200,"present","present","unitary state","312-63 BCE","present","present","inferred present","present","present","suspected unknown","281 BCE","3600000","50000","present","suspected unknown","present","present","4","present","inferred present","present","6","present","suspected unknown","present"
"96","Galilee",-103,"suspected unknown","present","confederated state","141-63 BCE",NA,NA,"present","present","inferred present","inferred present","105 BCE","5000","10000","unknown","present","present","present",NA,"inferred present","present","present","3",NA,"suspected unknown","present"
"97","Galilee",-1030,"unknown","unknown","confederated state","1030-722 BCE","present","present","inferred present","unknown","inferred present","unknown","855 BCE","8000","15000","unknown","unknown","inferred present","present","2","inferred present","present","present","7","present","suspected unknown","present"
"98","Galilee",-1180,"unknown","inferred present","quasi-polity","1200-332 BCE","inferred present","suspected unknown","present","inferred present","inferred present","unknown","570 BCE","8000","40000","suspected unknown","suspected unknown","inferred present","inferred present","5","inferred present","unknown","present","5","unknown","unknown","present"
"99","Garo Hills",1775,"present","absent","quasi-polity","1775-1867 CE","absent","absent","absent","absent","inferred absent","absent",NA,"suspected unknown","2000","absent","absent","absent","absent","1","absent","absent","absent","2","absent","suspected unknown","absent"
"100","Garo Hills",1868,"present","present","loose","1867-1956 CE",NA,"absent","absent","absent","inferred absent","present","1867-1900 CE","8000","7000","present","suspected unknown","absent","absent","1","absent","present","present","3",NA,"absent","present"
"101","Ghanaian Coast",1702,"inferred present","present","confederated state","1701-1895 CE","inferred absent","present","absent","absent","present","present","1800-1824 CE","259000","22500","absent","absent","present","absent","4","present","present","present","4","unknown","present","present"
"102","Ghanaian Coast",1501,"present","absent","quasi-polity","1501-1701 CE","absent","absent","absent","absent","suspected unknown","inferred present","1650-1701 CE",NA,NA,"absent","absent","inferred present","absent","2","inferred absent","absent","absent","3","absent","inferred present","absent"
"103","Iceland",930,"present","present","nominal","930-1262 CE","present","absent","present","absent","absent","unknown",NA,"103000","200","absent","inferred present","present","present","2","absent","present","present","3","absent","inferred absent","present"
"104","Iceland",1262,"present","present","loose","1262-1380 CE","present","present","present","absent","absent","unknown",NA,"103000","200","absent","inferred present","present","present","4","absent","present","present","3","absent","inferred absent","present"
"105","Kachi Plain",1207,"inferred present","suspected unknown","confederated state","1206-1526 CE","present","present","present","present","inferred present",NA,"1296-1316 CE","2800000","200000","present","present","present","present","5","present","present","present","6","present","present","present"
"106","Kachi Plain",-1800,"inferred present","absent","loose","1800-1300 BCE","inferred absent","inferred absent","absent","inferred absent","suspected unknown","suspected unknown",NA,NA,"450","absent","absent","inferred present","inferred absent","1","inferred absent","absent","absent","1","inferred absent","inferred present","absent"
"107","Kachi Plain",1748,"present","present","loose","1747-1826 CE","present","absent","present","present","present",NA,"1761 CE","489000",NA,"absent","present","absent","present","1","absent","present","present","3","present","present","present"
"108","Kachi Plain",496,"present","present","nominal","408-561 CE",NA,"present","present","inferred present","inferred present","present","509-522 CE","2750000",NA,NA,"present","present","present","1","inferred present","present","present","2","present",NA,"present"
"109","Kachi Plain",30,"present","present","confederated state","35-319 CE","present","present",NA,"present","present",NA,"229 CE","2000000","150000","suspected unknown","present","present","present","2","present","present","present","4","present","suspected unknown","present"
"110","Kachi Plain",-303,"present","present","unitary state","324-187 BCE","present","present",NA,"present","inferred present",NA,"269-232 BCE","4000000","50000","inferred present","present","present","present","1","present","present","present","4","inferred present",NA,"present"
"111","Kachi Plain",1526,"present","suspected unknown","unitary state","1526-1858 CE","inferred present","present","present","present","present",NA,"1630-1707 CE","3200000","400000","present","suspected unknown","suspected unknown","present","1","present","present","present","4","present","present","present"
"112","Kachi Plain",750,"present","present","unitary state","750-946 CE","present","present","present","present","present","present","809 CE","8300000","900000","present","present","absent","present","2","present","present","present","6","present","suspected unknown","present"
"113","Kachi Plain",-550,"present","present","unitary state","550-331 BCE","present","present","present","present","inferred present","inferred present","500 BCE","4800000","200000","present","inferred present","inferred present","present","3","present","inferred present","present","5","present","suspected unknown","present"
"114","Kachi Plain",-95,"present","present","confederated state","247 BCE - 40 CE","suspected unknown","present","present","present","present","suspected unknown","120 BCE","3000000","400000","present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"115","Kachi Plain",532,"present","inferred present","unitary state","488-642 CE","present","present","present","present","inferred present","suspected unknown","570 CE","3450000","500000","present","present","inferred present","present","4","suspected unknown","inferred present","present","6","inferred present",NA,"present"
"116","Kachi Plain",-2500,"present","suspected unknown","quasi-polity","2500-2100 BCE",NA,"inferred present","suspected unknown","inferred absent","inferred present",NA,"2500-2100 BCE","100000","100000","inferred present","suspected unknown","present","inferred absent","2","present","suspected unknown","present","3","inferred present","suspected unknown","present"
"117","Kachi Plain",-2100,"present","suspected unknown","quasi-polity","1800-1300 BCE",NA,"present","suspected unknown","inferred absent","inferred present",NA,"1800-1300 BCE","100000","100000","inferred present","suspected unknown","present","inferred absent","2","present","unknown","present","3","inferred present","suspected unknown","present"
"118","Kachi Plain",670,"present","present","unitary state","661-750 CE","present","present","present","present","present","present","724 CE","9000000","200000","present","present","present","present","2","present","present","present","6","present",NA,"present"
"119","Kachi Plain",1193,"suspected unknown","present","loose","1025-1215 CE","present","inferred present","present","suspected unknown","present",NA,"1200 CE","900000",NA,NA,"present","inferred present","inferred present","1","suspected unknown","present","present","2","present",NA,"present"
"120","Kachi Plain",251,"suspected unknown","suspected unknown","unitary state","205-487 CE","present","present","present","present","inferred present","suspected unknown","309-379 CE","3100000","250000","present","inferred present","present","absent","4","present","suspected unknown","inferred present","5","inferred present","suspected unknown","inferred present"
"121","Kachi Plain",-7500,"suspected unknown","absent","quasi-polity","7500-5500 BCE","absent","absent","absent","inferred absent","inferred present","suspected unknown","unknown",NA,"400","absent","absent","inferred absent","inferred absent","1","suspected unknown","absent","absent","1","absent","inferred present","absent"
"122","Kachi Plain",-1300,"suspected unknown","absent","quasi-polity","1300-500 BCE","suspected unknown","suspected unknown","absent","present","inferred present",NA,NA,NA,NA,"suspected unknown","absent",NA,NA,NA,"inferred present","absent","absent","1","inferred absent",NA,"absent"
"123","Kachi Plain",-5500,NA,"absent","quasi-polity","5500-4000 BCE","absent","absent","absent","present","inferred present","suspected unknown","unknown",NA,"400","absent","absent","inferred absent","inferred absent","1","suspected unknown","absent","absent","1","absent","inferred present","absent"
"124","Kachi Plain",-4000,NA,"absent","quasi-polity","4000-3200 BCE","absent","absent","absent","inferred present","inferred present","suspected unknown",NA,NA,"1200","absent","absent","inferred present","inferred absent","1","suspected unknown","absent","absent","2","absent","inferred present","absent"
"125","Kachi Plain",-3200,NA,"absent","quasi-polity","3200-2500 BCE","inferred absent","absent","absent","inferred present","inferred present","suspected unknown",NA,NA,"1100","absent","absent","inferred present","inferred absent","1","suspected unknown","absent","absent","2","absent","inferred present","absent"
"126","Kachi Plain",862,NA,"present","unitary state","854-1193 CE","present",NA,"suspected unknown","present",NA,NA,"985 CE","140914",NA,NA,"suspected unknown","present","present","2",NA,"present","present","3","present","present","present"
"127","Kachi Plain",1340,NA,"suspected unknown","unitary state","1335-1521 CE","present",NA,"suspected unknown","present",NA,NA,"1486 CE","140914",NA,NA,"present","absent","present","2",NA,"present","present","3",NA,"present","present"
"128","Kachi Plain",-145,NA,NA,"nominal","180-10 BCE","inferred present","inferred present",NA,"present","present",NA,"155-130 BCE","105226",NA,NA,NA,"present","present",NA,"inferred present","inferred present","present","2","present","present","present"
"129","Kansai",1185,"present","present","confederated state","1185-1333 CE","present","present","present","present","present","unknown","1225 CE","295000","100000","present",NA,"present","present","2","present","present","present","5","present",NA,"present"
