"","NGA.y","Date.From","Articles","Calendar","Degree of centralization","Duration","Formal legal code","Full-time bureaucrats","History","irrigation systems","markets","Mnemonic devices","Peak Date","Polity territory","Population of the largest settlement","Postal stations","Practical literature","Professional priesthood","Professional soldiers","Religious levels","Roads","Sacred Texts","Script","Settlement hierarchy","Specialized government buildings","Tokens","Written records"
"327","Southern Mesopotamia",1056,"present","present","confederated state","1037-1157 CE","present","present","present","present","present","suspected unknown","1092 CE","4000000","500000","inferred present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"328","Southern Mesopotamia",661,"present","present","unitary state","661-750 CE","present","present","present","present","present","present","724 CE","9000000","200000","present","present","present","present","2","present","present","present","6","present",NA,"present"
"329","Southern Mesopotamia",1534,"present","present","unitary state","1517-1683 CE","present","present","present","present","present","present","1520-1566 CE","4836000","650000","present","present","present","present","4","present","present","present","6","present",NA,"present"
"330","Southern Mesopotamia",1683,"present","inferred present","unitary state","1683-1839 CE","present","present","inferred present","present","present","present","1683 CE","4920000","700000","present","present","present","present","4","present","inferred present","present","6","present",NA,"present"
"331","Southern Mesopotamia",-5500,"suspected unknown","absent","suspected unknown","5500-4201 BCE","suspected unknown","suspected unknown","absent","present","suspected unknown","suspected unknown","5000-4000 BCE","suspected unknown","750","suspected unknown","absent","suspected unknown","suspected unknown",NA,"suspected unknown","absent","absent","2","absent","present","absent"
"332","Southern Mesopotamia",-4200,"suspected unknown","suspected unknown","suspected unknown","4000-2900 BCE","suspected unknown","absent","inferred absent","present","suspected unknown",NA,"3200-3050 BCE","2000","7000","suspected unknown","inferred absent","suspected unknown","suspected unknown",NA,"suspected unknown","suspected unknown","present","4","inferred absent","present","present"
"333","Southern Mesopotamia",220,"suspected unknown","suspected unknown","unitary state","205-487 CE","present","present","present","present","inferred present","suspected unknown","309-379 CE","3100000","250000","present","inferred present","present","absent","4","present","suspected unknown","inferred present","5","inferred present","suspected unknown","inferred present"
"334","Southern Mesopotamia",1394,"suspected unknown","present","unitary state","1370-1526 CE","suspected unknown","present","present","present","present","suspected unknown","1449 CE","5500000","150000","present","present","present","present","1","present","present","present","6","present","suspected unknown","present"
"335","Southern Mesopotamia",-2900,NA,"present","quasi-polity","2900-2500 BCE","suspected unknown","suspected unknown","present","present","suspected unknown",NA,NA,"1200",NA,"suspected unknown","suspected unknown","suspected unknown","present",NA,NA,NA,"present","4","absent",NA,"present"
"336","Southern Mesopotamia",-2112,NA,"present","unitary state","2112-2004 BCE","present","present","present","present",NA,NA,"2097-2038 BCE",NA,"200000","present","present",NA,"present","4","present",NA,"present","4","present",NA,"present"
"337","Southern Mesopotamia",-9000,NA,NA,NA,"9000-5501 BCE",NA,NA,NA,"inferred absent","inferred absent",NA,NA,"suspected unknown","suspected unknown",NA,NA,NA,NA,NA,NA,NA,NA,"1","absent",NA,NA
"338","Susiana",-5700,"present","absent","quasi-polity","5700-5100 BCE","inferred absent","inferred absent","absent","present",NA,NA,NA,NA,"175","inferred absent","absent","present","inferred absent","1","inferred absent","absent","absent","1","inferred absent",NA,"absent"
"339","Susiana",-2675,"inferred present","inferred present","confederated state","2675-2100 BCE","present","present",NA,"present","present","inferred present",NA,"200000","2300","present","present","inferred present","inferred present","2","inferred present",NA,"present","2","present",NA,"present"
"340","Susiana",-1100,"inferred present",NA,"quasi-polity","1100-900 BCE",NA,"inferred absent",NA,"inferred absent",NA,NA,NA,NA,NA,NA,NA,"suspected unknown","suspected unknown",NA,NA,NA,"suspected unknown",NA,NA,NA,NA
"341","Susiana",25,"inferred present","inferred present","unitary state","25-215 CE","inferred present",NA,"inferred present","present","inferred present",NA,"100 CE",NA,"10000",NA,"present",NA,NA,NA,"inferred present","inferred present","present","4","inferred present",NA,"present"
"342","Susiana",-4700,"inferred present","absent","quasi-polity","4700-4300 BCE","inferred absent","inferred absent","absent","inferred present",NA,NA,NA,NA,"750","suspected unknown","absent","inferred present","inferred absent","suspected unknown","inferred absent","absent","absent","2","inferred absent",NA,"absent"
"343","Susiana",-5100,"inferred present","absent","quasi-polity","5100-4700 BCE","inferred absent","inferred absent","absent","inferred present",NA,NA,NA,NA,"750","suspected unknown","absent","present","inferred absent","1","inferred absent","absent","absent","2","inferred absent",NA,"absent"
"344","Susiana",-1500,"inferred present","present","unitary state","1500-1400 BCE","present","inferred present",NA,"suspected unknown",NA,"inferred present","1158 BCE","230000","1500","suspected unknown","present","inferred present","suspected unknown","2","present",NA,"present","4","inferred present",NA,"present"
"345","Susiana",-1400,"inferred present","present","unitary state","1399-1200 BCE","inferred present","inferred present",NA,"suspected unknown","inferred present","inferred present","1300 BCE","290000","5000",NA,"inferred present","inferred present","suspected unknown","2","inferred present",NA,"present","4","inferred present",NA,"present"
"346","Susiana",-1200,"inferred present","present","unitary state","1199-1100 BCE","present","present",NA,"inferred present","inferred present","inferred present","1158 BCE","250000",NA,NA,"present","inferred present","inferred present","2","present",NA,"present","4","present",NA,"present"
"347","Susiana",-900,"inferred present",NA,"quasi-polity","900-744 BCE",NA,NA,NA,"inferred present",NA,NA,NA,NA,NA,"suspected unknown",NA,"inferred present",NA,NA,"inferred present",NA,"suspected unknown","3",NA,NA,"suspected unknown"
"348","Susiana",-743,"inferred present",NA,"unitary state","743-647 BCE","inferred present","inferred present",NA,"inferred present","inferred present","inferred present","743-717 BCE","300000",NA,"suspected unknown",NA,"present","inferred present",NA,"present",NA,"present","4","inferred present",NA,"present"
"349","Susiana",-612,"inferred present",NA,"quasi-polity","612-539 BCE",NA,"inferred present",NA,"suspected unknown","inferred present","inferred present",NA,NA,NA,NA,"present","inferred present",NA,NA,"inferred present",NA,"present",NA,"inferred present",NA,"present"
